feature,importance
remainder__LANDAREA_MEDI_MISSING,0.0
onehotencoder__NAME_INCOME_TYPE_Businessman,0.0
onehotencoder__NAME_INCOME_TYPE_Maternity leave,0.0
onehotencoder__NAME_INCOME_TYPE_Student,0.0
onehotencoder__NAME_INCOME_TYPE_Unemployed,0.0
onehotencoder__NAME_EDUCATION_TYPE_Academic degree,0.0
onehotencoder__NAME_EDUCATION_TYPE_Incomplete higher,0.0
remainder__LIVINGAPARTMENTS_MEDI_MISSING,0.0
remainder__LIVINGAREA_MEDI_MISSING,0.0
remainder__NONLIVINGAPARTMENTS_MEDI_MISSING,0.0
remainder__NONLIVINGAREA_MEDI_MISSING,0.0
remainder__OBS_30_CNT_SOCIAL_CIRCLE_MISSING,0.0
remainder__DEF_30_CNT_SOCIAL_CIRCLE_MISSING,0.0
remainder__OBS_60_CNT_SOCIAL_CIRCLE_MISSING,0.0
remainder__DEF_60_CNT_SOCIAL_CIRCLE_MISSING,0.0
remainder__DAYS_LAST_PHONE_CHANGE_MISSING,0.0
remainder__AMT_REQ_CREDIT_BUREAU_MON_MISSING,0.0
remainder__AMT_REQ_CREDIT_BUREAU_QRT_MISSING,0.0
remainder__AMT_REQ_CREDIT_BUREAU_YEAR_MISSING,0.0
remainder__FAMILY_SIZE_PER_INCOME_MISSING,0.0
remainder__INCOME_PER_ADULT_MISSING,0.0
remainder__CAR_AGE_TO_PERSON_AGE_MISSING,0.0
remainder__LIVING_TO_TOTAL_AREA_MISSING,0.0
remainder__LIVING_APARTMENTS_RATIO_MISSING,0.0
remainder__ANNUITY_CREDIT_RATIO_MISSING,0.0
remainder__AMT_ANNUITY_LOG_MISSING,0.0
remainder__AMT_GOODS_PRICE_LOG_MISSING,0.0
